clinic_id,clinic_name,state,region,dog_breed,cat_breed,fish_breed,bird_breed,treatment_cost,wait_time,recommended
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,Labrador Retriever,,,,116,14,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,Boxer,,,,73,18,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Bulldog,Sphynx,,,104,14,1
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,,,99,18,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,Beagle,,,,108,18,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,German Shepherd,Siamese,,,90,20,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Bulldog,,,,151,19,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Golden Retriever,Scottish Fold,,,172,19,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,Beagle,American Bobtail,,,88,21,1
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,German Shepherd,Siamese,,,128,23,0
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,,,Goldfish,Parrotlet,135,25,0
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,Labrador Retriever,Siamese,,,145,30,0
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,Bulldog,,,,141,20,0
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,,,,,128,25,0
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,,,,,110,22,0
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,German Shepherd,Sphynx,,,49,22,1
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,Beagle,,,,95,15,1
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,Labrador Retriever,Maine Coone,,,138,8,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,German Shepherd,Persian,Guppy,Parrotlet,108,28,0
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Bulldog,Persian,,,102,12,1
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,Beagle,,Cory Catfish,Finch,67,24,1
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,Golden Retriever,,,,170,27,0
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,,,,,128,20,0
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,,,,147,17,1
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,Beagle,,,,166,18,1
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,Boxer,,,,119,23,0
C-5117804,NASH-FINCH Pet and Animal Emerging Clinic,IL,West,,,,,61,19,1
C-0007799,Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,PA,West,,,,,133,14,1
C-7032303,Cephalon Pet and Animal Emerging Clinic,DC,Northeast,,,,,69,18,1
C-4646107,STAT Rx USA Pet and Animal Emerging Clinic,NY,Northeast,Yorkshire Terrier,,,,84,19,1
C-0009958,Colgate Oral Pharmaceuticals Pet and Animal Emerging Clinic,OK,Midwest,Boxer,Sphynx,,,150,20,0
C-2961266,B. Braun Medical Pet and Animal Emerging Clinic,FL,South,,,,,114,18,1
C-5284095,Sandoz Pet and Animal Emerging Clinic,AZ,West,Golden Retriever,Maine Coone,,,88,25,1
C-4266841,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Golden Retriever,,,,100,27,0
C-4563046,AAA Pharmaceutical Pet and Animal Emerging Clinic,IL,West,,,Guppy,Dove,123,20,0
C-3060634,Cargo Cosmetics Pet and Animal Emerging Clinic,CA,West,Labrador Retriever,,Goldfish,Dove,133,20,0
C-1765085,Sandoz Pet and Animal Emerging Clinic,FL,South,Yorkshire Terrier,Sphynx,Betta Fish,Parrotlet,108,19,1
C-8640799,Bliss World Pet and Animal Emerging Clinic,OH,Northeast,German Shepherd,,,,106,26,0
C-8522107,Apotex Pet and Animal Emerging Clinic,VA,West,,,Goldfish,African Gray Parrot,134,22,0
C-0258802,Amneal Pharmaceuticals of New York Pet and Animal Emerging Clinic,IN,West,Bulldog,Maine Coone,,,109,26,0
C-1184498,Reckitt Benckiser Pet and Animal Emerging Clinic,WV,South,Bulldog,,,,146,15,1
C-5679975,Kareway Product Pet and Animal Emerging Clinic,WI,South,Golden Retriever,,,,148,13,1
C-7407663,Mylan Pharmaceuticals Pet and Animal Emerging Clinic,TX,South,Beagle,,,,134,15,1
C-3261951,ALK-Abello Pet and Animal Emerging Clinic,CA,West,Beagle,,,,144,16,1
C-6963787,U.S. Pet and Animal Emerging Clinic,CA,West,German Shepherd,,,,149,7,1
C-2207742,Natural Health Pet and Animal Emerging Clinic,MA,South,,,,,99,20,1
C-5248067,Physicians Total Care Pet and Animal Emerging Clinic,TX,South,Boxer,American Shorthair,,,115,13,1
C-4274952,Physicians Total Care Pet and Animal Emerging Clinic,MN,South,Yorkshire Terrier,Sphynx,,,107,22,0
C-2706989,Washington Homeopathic Pet and Animal Emerging Clinic,OH,Northeast,,American Shorthair,,,151,22,0
C-8890710,Novartis Consumer Health Pet and Animal Emerging Clinic,TX,South,Yorkshire Terrier,American Bobtail,,,116,20,0
C-1180448,HOMEOLAB USA Pet and Animal Emerging Clinic,IA,West,,,,,108,14,1
C-2606141,Genzyme Pet and Animal Emerging Clinic,OR,South,Bulldog,,,,110,13,1
C-8021177,Western Family Foods Pet and Animal Emerging Clinic,MN,South,,,,,131,19,1
C-9661319,Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,DC,Northeast,,American Shorthair,,,69,7,1
C-1932107,Dolgencorp Pet and Animal Emerging Clinic,LA,South,Boxer,,,,88,15,1
C-2858310,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Boxer,Persian,,,128,19,1
C-4761042,Heckman Healthcare Service & Supplies Pet and Animal Emerging Clinic,CA,West,,,Betta Fish,Finch,128,14,1
C-9528941,Cobalt Laboratories Pet and Animal Emerging Clinic,NC,West,Beagle,,,,58,19,1
C-1220473,Coastal Welding Supply Pet and Animal Emerging Clinic,NV,Northeast,,,,,66,17,1
C-8273749,Valu Merchandisers Pet and Animal Emerging Clinic,OK,Midwest,Yorkshire Terrier,,,,157,23,0
C-1300637,Airgas-West Pet and Animal Emerging Clinic,CO,West,,Sphynx,Cory Catfish,African Gray Parrot,116,17,1
C-5476343,Dolgencorp Pet and Animal Emerging Clinic,VA,West,Yorkshire Terrier,,,,119,9,1
C-0237977,CVS Pharmacy Pet and Animal Emerging Clinic,MD,Northeast,Beagle,American Shorthair,,,153,24,0
C-2927333,Cardinal Pet and Animal Emerging Clinic,CA,West,,,,,178,24,0
C-4161281,PD-Rx Pharmaceuticals Pet and Animal Emerging Clinic,TX,South,Boxer,,,,120,30,0
C-5970748,Prime Enterprises Pet and Animal Emerging Clinic,CO,West,,,Betta Fish,Lovebird,90,22,1
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,Yorkshire Terrier,,,,116,18,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Labrador Retriever,,,,133,23,0
C-6941229,Walgreens,IA,West,,Sphynx,,,95,25,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,German Shepherd,,,,71,24,1
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,Boxer,,,,75,22,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,,,Guppy,Dove,112,9,1
C-8350481,DSHealthcare,MA,South,Bulldog,,,,115,22,0
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,,,,,155,15,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,Golden Retriever,American Shorthair,,,130,24,0
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,,Sphynx,,,154,26,0
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,,,Guppy,Parrotlet,183,25,0
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,Boxer,American Bobtail,,,55,25,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,Sphynx,,,141,10,1
C-7173048,Empack,CO,West,,,,,70,14,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Golden Retriever,,Cory Catfish,Lovebird,78,11,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Bulldog,,,,137,25,0
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,,,,,133,18,1
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,Boxer,,,,152,15,1
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Labrador Retriever,American Bobtail,Angelfish,African Gray Parrot,96,26,1
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,Beagle,,,,116,23,0
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,Beagle,American Bobtail,,,88,17,1
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,,Siamese,,,137,23,0
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,German Shepherd,Siamese,Goldfish,Lovebird,111,27,0
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,,,,,92,21,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,German Shepherd,,,,154,17,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Boxer,Sphynx,,,127,17,1
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,Labrador Retriever,,,,145,17,1
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Labrador Retriever,,,,121,15,1
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,,,,,177,23,0
C-3829341,Walgreens,CA,West,,,Guppy,Lovebird,132,19,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,,,,135,28,0
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,Golden Retriever,,,,114,28,0
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,Golden Retriever,Maine Coone,,,171,20,0
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,German Shepherd,,,,170,20,0
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,,,Angelfish,Lovebird,138,16,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,Bulldog,American Shorthair,,,89,14,1
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,,,70,16,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,,,,,132,18,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,,,,,119,19,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,,,,,137,15,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,,,,,101,28,0
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,German Shepherd,Scottish Fold,,,103,22,0
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,Beagle,,,,147,16,1
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,Labrador Retriever,,,,53,22,1
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,Labrador Retriever,,Guppy,Finch,114,15,1
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,Labrador Retriever,American Shorthair,Angelfish,Dove,103,24,0
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,German Shepherd,,,,163,27,0
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,Beagle,Sphynx,,,114,23,0
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,Yorkshire Terrier,,,,138,20,0
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,,,,,112,21,0
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,,,,,117,17,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,Golden Retriever,,,,135,25,0
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,,,,,109,22,0
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,,,,,124,22,0
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,,,,,109,20,0
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,,,,78,22,1
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,Sphynx,,,27,17,1
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,,,,,131,17,1
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,,,,,155,21,0
C-5117804,NASH-FINCH Pet and Animal Emerging Clinic,IL,West,German Shepherd,Scottish Fold,,,110,31,0
C-0007799,Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,PA,West,Golden Retriever,,,,95,10,1
C-7032303,Cephalon Pet and Animal Emerging Clinic,DC,Northeast,Beagle,American Shorthair,,,91,19,1
C-4646107,STAT Rx USA Pet and Animal Emerging Clinic,NY,Northeast,Bulldog,,Cory Catfish,Finch,136,20,0
C-0009958,Colgate Oral Pharmaceuticals Pet and Animal Emerging Clinic,OK,Midwest,,,,,147,24,0
C-2961266,B. Braun Medical Pet and Animal Emerging Clinic,FL,South,Yorkshire Terrier,American Bobtail,,,101,19,1
C-5284095,Sandoz Pet and Animal Emerging Clinic,AZ,West,Yorkshire Terrier,,Betta Fish,Lovebird,167,25,0
C-4266841,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,German Shepherd,Siamese,,,144,20,0
C-4563046,AAA Pharmaceutical Pet and Animal Emerging Clinic,IL,West,,,,,90,17,1
C-3060634,Cargo Cosmetics Pet and Animal Emerging Clinic,CA,West,,,,,153,19,1
C-1765085,Sandoz Pet and Animal Emerging Clinic,FL,South,Boxer,Sphynx,,,144,18,1
C-8640799,Bliss World Pet and Animal Emerging Clinic,OH,Northeast,Beagle,Sphynx,,,111,16,1
C-8522107,Apotex Pet and Animal Emerging Clinic,VA,West,,,,,101,24,0
C-0258802,Amneal Pharmaceuticals of New York Pet and Animal Emerging Clinic,IN,West,,,,,113,10,1
C-1184498,Reckitt Benckiser Pet and Animal Emerging Clinic,WV,South,,American Shorthair,,,95,22,1
C-5679975,Kareway Product Pet and Animal Emerging Clinic,WI,South,Beagle,Maine Coone,,,180,20,0
C-7407663,Mylan Pharmaceuticals Pet and Animal Emerging Clinic,TX,South,Beagle,,,,186,13,1
C-3261951,ALK-Abello Pet and Animal Emerging Clinic,CA,West,German Shepherd,,,,151,23,0
C-6963787,U.S. Pet and Animal Emerging Clinic,CA,West,Bulldog,,Goldfish,Lovebird,90,18,1
C-2207742,Natural Health Pet and Animal Emerging Clinic,MA,South,Boxer,,,,143,18,1
C-5248067,Physicians Total Care Pet and Animal Emerging Clinic,TX,South,,,,,94,20,1
C-4274952,Physicians Total Care Pet and Animal Emerging Clinic,MN,South,Bulldog,,,,165,20,0
C-2706989,Washington Homeopathic Pet and Animal Emerging Clinic,OH,Northeast,Boxer,,,,144,25,0
C-8890710,Novartis Consumer Health Pet and Animal Emerging Clinic,TX,South,Bulldog,,,,117,30,0
C-1180448,HOMEOLAB USA Pet and Animal Emerging Clinic,IA,West,,Siamese,,,97,21,1
C-2606141,Genzyme Pet and Animal Emerging Clinic,OR,South,Yorkshire Terrier,American Bobtail,,,114,21,0
C-8021177,Western Family Foods Pet and Animal Emerging Clinic,MN,South,German Shepherd,Sphynx,,,79,18,1
C-9661319,Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,,,,127,24,0
C-1932107,Dolgencorp Pet and Animal Emerging Clinic,LA,South,,Scottish Fold,,,141,23,0
C-2858310,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,Golden Retriever,American Shorthair,,,125,15,1
C-4761042,Heckman Healthcare Service & Supplies Pet and Animal Emerging Clinic,CA,West,,Maine Coone,,,114,17,1
C-9528941,Cobalt Laboratories Pet and Animal Emerging Clinic,NC,West,Bulldog,Siamese,,,144,19,1
C-1220473,Coastal Welding Supply Pet and Animal Emerging Clinic,NV,Northeast,German Shepherd,,,,71,21,1
C-8273749,Valu Merchandisers Pet and Animal Emerging Clinic,OK,Midwest,Golden Retriever,,,,127,27,0
C-1300637,Airgas-West Pet and Animal Emerging Clinic,CO,West,Beagle,,,,79,27,1
C-5476343,Dolgencorp Pet and Animal Emerging Clinic,VA,West,,,,,115,17,1
C-0237977,CVS Pharmacy Pet and Animal Emerging Clinic,MD,Northeast,German Shepherd,American Bobtail,,,117,28,0
C-2927333,Cardinal Pet and Animal Emerging Clinic,CA,West,Bulldog,,,,63,24,1
C-4161281,PD-Rx Pharmaceuticals Pet and Animal Emerging Clinic,TX,South,Bulldog,,,,113,24,0
C-5970748,Prime Enterprises Pet and Animal Emerging Clinic,CO,West,,Scottish Fold,Angelfish,Parrotlet,130,19,1
C-7650240,Boca Pharmacal Pet and Animal Emerging Clinic,TX,South,,,,,148,16,1
C-1484172,Topco Associates Pet and Animal Emerging Clinic,NM,Northeast,Labrador Retriever,,,,114,22,0
C-6941229,Walgreens,IA,West,Yorkshire Terrier,,,,95,15,1
C-7258806,Mylan Institutional Pet and Animal Emerging Clinic,CA,West,Labrador Retriever,,,,142,23,0
C-6692908,Pharmacia and Upjohn Pet and Animal Emerging Clinic,OK,Midwest,,,,,130,18,1
C-9744420,Taro Pharmaceuticals U.S.A. Pet and Animal Emerging Clinic,NE,West,Labrador Retriever,,,,40,19,1
C-8350481,DSHealthcare,MA,South,,,,,88,21,1
C-0677076,CVS Pharmacy Pet and Animal Emerging Clinic,NJ,Northeast,,,Cory Catfish,Parrotlet,112,18,1
C-5657240,Pfizer Laboratories Div Pfizer Pet and Animal Emerging Clinic,NJ,Northeast,,,,,76,23,1
C-8471630,The Procter & Gamble Manufacturing Pet and Animal Emerging Clinic,MI,Northeast,Boxer,Persian,Guppy,Finch,55,23,1
C-2171304,NCS HealthCare of KY Inc dba Vangard Pet and Animal Emerging Clinic,VA,West,Beagle,Sphynx,,,132,10,1
C-7680367,Access Business Group Pet and Animal Emerging Clinic,ID,West,,,,,95,22,1
C-8185040,L Perrigo Pet and Animal Emerging Clinic,DC,Northeast,Golden Retriever,Siamese,,,148,23,0
C-7173048,Empack,CO,West,,,,,178,19,1
C-4460888,Pharmacia and Upjohn Pet and Animal Emerging Clinic,MD,Northeast,Yorkshire Terrier,,,,81,21,1
C-3982906,WOCKHARDT Pet and Animal Emerging Clinic,VA,West,Bulldog,American Shorthair,Betta Fish,Parrotlet,134,23,0
C-6796356,Solco healthcare U.S. Pet and Animal Emerging Clinic,NY,Northeast,,Scottish Fold,,,149,9,1
C-2227409,Delon Laboratories (1990) Pet and Animal Emerging Clinic,MS,West,,Sphynx,,,152,25,0
C-9268257,Amerisource Pet and Animal Emerging Clinic,CT,Northeast,Bulldog,,,,107,20,0
C-9629736,U.S. Pet and Animal Emerging Clinic,PA,West,,Siamese,,,163,17,1
C-5601285,SJ Creations Pet and Animal Emerging Clinic,NJ,Northeast,Labrador Retriever,,,,165,26,0
C-4023413,Fresenius Kabi USA Pet and Animal Emerging Clinic,IN,West,Bulldog,Scottish Fold,,,158,27,0
C-7363300,Allergy Laboratories Pet and Animal Emerging Clinic,CA,West,Bulldog,Siamese,,,136,27,0
C-5814177,Mechanical Servants Pet and Animal Emerging Clinic,DC,Northeast,,,,,69,28,1
C-7186775,Kmart Pet and Animal Emerging Clinic,DC,Northeast,,American Shorthair,,,147,13,1
C-7355717,American Health Pet and Animal Emerging Clinic,FL,South,Boxer,Maine Coone,,,154,25,0
C-4668812,Physicians Total Care Pet and Animal Emerging Clinic,TN,South,,,,,167,21,0
C-1375667,Whisk Products Pet and Animal Emerging Clinic,OK,Midwest,Labrador Retriever,,,,128,25,0
C-0190273,Alaven Pharmaceutical Pet and Animal Emerging Clinic,FL,South,Labrador Retriever,,,,124,21,0
C-3829341,Walgreens,CA,West,,American Bobtail,,,91,23,1
C-7183156,Conopco Inc. d/b/a Pet and Animal Emerging Clinic,OR,South,,Scottish Fold,,,121,20,0
C-3213706,Physicians Total Care Pet and Animal Emerging Clinic,OR,South,Yorkshire Terrier,,,,116,17,1
C-6914919,McKesson Packaging Serivces a business unit of McKesson Pet and Animal Emerging Clinic,TX,South,Beagle,,,,149,29,0
C-8336775,RITE AID Pet and Animal Emerging Clinic,NY,Northeast,,,Angelfish,African Gray Parrot,139,17,1
C-5438026,SHISEIDO AMERICA Pet and Animal Emerging Clinic,WV,South,,Scottish Fold,,,182,9,1
C-5714113,Agbanga Karite LLC / EveryDay Shea / Alaffia Sustainable Skin Pet and Animal Emerging Clinic,IA,West,German Shepherd,Scottish Fold,,,139,17,1
C-4093014,Greenstone Pet and Animal Emerging Clinic,VA,West,,,,,125,15,1
C-4801579,Energique Pet and Animal Emerging Clinic,TX,South,Labrador Retriever,Siamese,,,174,12,1
C-6388141,Meditrend Inc. DBA Progena Professional Pet and Animal Emerging Clinic,TX,South,Bulldog,American Bobtail,,,72,23,1
C-0272807,St Marys Medical Park Pet and Animal Emerging Clinic,CA,West,Yorkshire Terrier,,,,170,12,1
C-2860760,Physicians Total Care Pet and Animal Emerging Clinic,OH,Northeast,Boxer,,,,148,16,1
C-7129435,LG Household and Healthcare Pet and Animal Emerging Clinic,FL,South,Bulldog,,,,103,21,0
C-0360448,REMEDYREPACK Pet and Animal Emerging Clinic,IN,West,,,,,89,26,1
C-3337444,Barr Laboratories Pet and Animal Emerging Clinic,IL,West,,,,,99,27,1
C-4225828,Nelco Laboratories Pet and Animal Emerging Clinic,RI,Northeast,,Sphynx,,,110,21,0
C-5741001,AvKARE Pet and Animal Emerging Clinic,KS,South,Golden Retriever,,,,134,20,0
C-6575705,Vivier Pharma Pet and Animal Emerging Clinic,AK,#N/A,Labrador Retriever,Siamese,,,100,15,1
C-6026626,Mycone Dental Supply Co. Inc DBA Keystone Industries and Deepak Products Pet and Animal Emerging Clinic,FL,South,,,,,135,12,1
C-4936699,Alvogen Pet and Animal Emerging Clinic,OK,Midwest,,Scottish Fold,Cory Catfish,Dove,137,24,0
C-6864956,Ningbo Meiduo General Products Co. Pet and Animal Emerging Clinic,FL,South,,,,,70,28,1
C-4080038,Lake Erie Medical DBA Quality Care Products Pet and Animal Emerging Clinic,AZ,West,,,,,139,15,1
C-6902175,SESVALIA USA Pet and Animal Emerging Clinic,AZ,West,Yorkshire Terrier,American Shorthair,,,57,19,1
C-0303641,REMEDYREPACK Pet and Animal Emerging Clinic,CA,West,,,,,68,16,1
C-7094024,Jubilant HollisterStier Pet and Animal Emerging Clinic,NC,West,Beagle,,,,76,33,1
C-9070137,Laboratoires Clarins Pet and Animal Emerging Clinic,NV,Northeast,,,,,184,15,1
C-8822018,MAKEUP ART Pet and Animal Emerging Clinic,CA,West,German Shepherd,,,,133,21,0
C-5030646,Physicians Total Care Pet and Animal Emerging Clinic,NY,Northeast,,,,,196,18,1
C-0905807,West-ward Pharmaceutical Pet and Animal Emerging Clinic,GA,South,Golden Retriever,,,,166,20,0
C-2118723,Markwins Beauty Products Pet and Animal Emerging Clinic,WI,South,Yorkshire Terrier,,,,87,19,1
C-5117804,NASH-FINCH Pet and Animal Emerging Clinic,IL,West,Boxer,,,,107,26,0
